area,buildingName,buildingNum,buildingYear,category,checkDay,checkNum,checkType,createDate,createUserId,createUserName,csfs,dhyh,dtwx,dtwxyzpsyzqx,dzsbps,equipmentTypeName,ewa,fileList,files,floor,ids,inDate,isProblemSituation,isType,lastMileage,lat,lineName,lng,lyState,modifyDate,modifyUserId,modifyUserName,num,pieces,qrCode,qtps,remark,rlId,septicTankNum,siteInstallation,snsbps,state,stationId,stationName,structureType,tebId,technologyState,type,useDepart,useType,workareaDepartId,workareaDepartName,workshopDepartId,workshopDepartName,xfsbps,ybfsbxdhyh,yzfs,yzjsdmjkwbp,yzly,yzlyybqx
180,综合车间7米宽道路排水沟,48,,,,,,1.760943218288e+12,770,宋红根,,,,,,,,,,,,2025-10-20,,,,,沪昆客专,,,1.761529075533e+12,770,宋红根,22070,,https://ncjnas.coolmitech.com:50443/123/bbd2fa512781a57e9ef7c9d43bd25625?objectKey=nas/ncfjd/tlsbgl/2025/10/21/1761053962924_87943829.png&expireTime=1762412935366&signature=7jMurz4coFTfscyOVhzfQdFZBvYttuKYCuyuhyxm0uE,,,76,,,,1,226,新余北,砼,46939,二级,2,南昌房建生活段,排水沟（管）,151,新余北高铁综合工区,143,南昌西高铁房建车间,,,,,,
52,消防通道围墙,站-14,,,,,,1.759115691189e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760673104292e+12,770,宋红根,27272,,https://ncjnas.coolmitech.com:50443/123/e218944fd5604e94d3ae9037fcbd48bc?objectKey=nas/ncfjd/tlsbgl/2025/10/17/1760701902455_88555536.png&expireTime=1762412935367&signature=uZFfffjXJFTGO7AV7fpJDItu8ymp6R97p76NpXEB8gN,,,70,,,,1,112,兴国西站,砖,37208,一级,1,赣州车务段,围墙、栅栏（含玻璃栏板、站台端头栏杆）,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
450,1-2站台围墙,站-22,,,,,,1.759116764542e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760673210914e+12,770,宋红根,27279,,https://ncjnas.coolmitech.com:50443/123/c9e1ca11a1bea0317406e5785b76d43e?objectKey=nas/ncfjd/tlsbgl/2025/10/17/1760702008702_07646606.png&expireTime=1762412935368&signature=mvuxSLsSSs3rDP7p02xXq2osu1lDSWygjxVSidqrpch,,,70,,,,1,112,兴国西站,砖,37216,一级,1,赣州车务段,围墙、栅栏（含玻璃栏板、站台端头栏杆）,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
1750,二站台护坡,站-16,,,,,,1.759116049613e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760673523552e+12,770,宋红根,27274,,https://ncjnas.coolmitech.com:50443/123/10b7d06f8add8167b502ba1136c60d05?objectKey=nas/ncfjd/tlsbgl/2025/10/17/1760702322139_70302206.png&expireTime=1762412935370&signature=9Y76gru3V5y05D9Bk63dImf2vXFM2LOOXQ44shfOiM0,,,70,,,,1,112,兴国西站,混凝土,37210,一级,1,赣州车务段,挡墙护坡,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
738,单身宿舍至维修工区道路,公-49,,,,,,1.759121019404e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760673581814e+12,770,宋红根,27267,,https://ncjnas.coolmitech.com:50443/123/b7c45f3264ad45ff72e92c299d196cab?objectKey=nas/ncfjd/tlsbgl/2025/10/17/1760702378931_54972434.png&expireTime=1762412935371&signature=XADjPDbJrZlKSJ83P15ETufekKRyfNm8FV5fIMCeU77,,,70,,,,1,112,兴国西站,混凝土,37255,一级,1,赣州工务段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
130,DK330+240直放站道路,31-6,,,,,,1.759123249691e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.76067363031e+12,770,宋红根,26605,,https://ncjnas.coolmitech.com:50443/123/0b9d2b23478a07ff7cec79bd98ec597c?objectKey=nas/ncfjd/tlsbgl/2025/10/17/1760702429058_64212205.png&expireTime=1762412935372&signature=Qd14cP1KtquIpHQSbbWUqJHwb6a8UOgYWHCPmtSJOUj,,,70,,,,1,112,兴国西站,混凝土,37281,一级,1,南昌通信段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
194,1-2站台排水沟,站-23,,,,,,1.759116871332e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760923189739e+12,770,宋红根,27280,,https://ncjnas.coolmitech.com:50443/123/f0544081107413a5da2c167ecf4965fc?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760951988057_57132204.png&expireTime=1762412935374&signature=02RCbzq5Y9epniuooYtTZuaNBtFCrRDT2IsxhNLlaic,,,70,,,,1,112,兴国西站,混凝土,37217,一级,1,赣州车务段,排水沟（管）,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
196,1-2站台玻璃幕墙,站-19,,,,,,1.75911643826e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760673977974e+12,770,宋红根,27303,,https://ncjnas.coolmitech.com:50443/123/93ff7ed1a3ec84195e437b21b12fbaed?objectKey=nas/ncfjd/tlsbgl/2025/10/17/1760702776597_38255554.png&expireTime=1762412935376&signature=NqVZfeUYZ51FvtyYkMAYLJ6coFS61M9dR30hvlNKcbO,,,70,,,,1,112,兴国西站,无,37213,一级,1,赣州车务段,垂直电梯玻璃罩,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
245,1-2站台进出站斜踏步,站-24,,,,,,1.759117016833e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.76067401195e+12,770,宋红根,27281,,https://ncjnas.coolmitech.com:50443/123/79af462130b9978ebbef0833aac83a70?objectKey=nas/ncfjd/tlsbgl/2025/10/17/1760702810565_87275195.png&expireTime=1762412935377&signature=ULUSC3CHhtpKmKfCHzsUXRtTXcmyoYaBzjqaloijfsn,,,70,,,,1,112,兴国西站,砖,37218,一级,1,赣州车务段,台阶踏步,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
36,公安派出所停车位,公-11,,,,,,1.759118096386e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760674231441e+12,770,宋红根,27232,,https://ncjnas.coolmitech.com:50443/123/c952da40193b52cea3f4b40d208302be?objectKey=nas/ncfjd/tlsbgl/2025/10/17/1760703029798_25018081.png&expireTime=1762412935379&signature=2OnCMSpuSGXgf0Qp0HUPK457kSZmj6vNIt7kv9qU4v6,,,70,,,,1,112,兴国西站,混凝土,37228,一级,1,赣州公安处,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
